controlador,archivo,t_step,ref_final,y_ss,e_ss,overshoot_pct,rmse,settling_time_s
PI,pi_run_01.csv,17000.0,16971.875,0.5938571428571429,16971.281142857144,0.0,17052.819200718273,
PI,pi_run_02.csv,17000.0,16965.0,0.5913999999999999,16964.4086,0.0,17055.724583131567,
PI,pi_run_03.csv,17000.0,16985.0,0.578,16984.422,0.0,17069.19747373481,
PI,pi_run_04.csv,17000.0,16978.75,0.5731499999999998,16978.17685,0.0,17081.46251815271,
PI,pi_run_05.csv,17000.0,16963.75,0.58115,16963.16885,0.0,17069.08081440727,
PI,pi_run_06.csv,17000.0,16978.75,0.5792499999999999,16978.17075,0.0,17071.365129814032,
PI,pi_run_07.csv,17000.0,16968.125,0.5764500000000001,16967.54855,0.0,17075.720497390375,
PI,pi_run_08.csv,17000.0,17004.375,0.56995,17003.80505,0.0,17075.15376547408,
PI,pi_run_09.csv,17000.0,16977.5,0.5766,16976.9234,0.0,17075.909979524695,
PI,pi_run_10.csv,17000.0,16991.875,0.5721999999999999,16991.3028,0.0,17076.434543157982,
PI,pi_run_11.csv,17000.0,16987.5,0.5701999999999999,16986.9298,0.0,17082.188698171536,
PI,pi_run_12.csv,17000.0,17003.125,0.5636499999999999,17002.56135,0.0,17093.833382747936,
PI,pi_run_13.csv,17000.0,17002.5,0.56405,17001.93595,0.0,17079.58498052916,
PI,pi_run_14.csv,17000.0,17011.25,0.5648500000000001,17010.68515,0.0,17084.585598644004,
PI,pi_run_15.csv,17000.0,16989.375,0.5650000000000001,16988.81,0.0,17090.40058412157,
PI,pi_run_16.csv,17000.0,16983.125,0.5607499999999999,16982.56425,0.0,17090.804942124974,
PI,pi_run_17.csv,17000.0,17001.875,0.5593999999999999,17001.3156,0.0,17096.249766646113,
PI,pi_run_18.csv,17000.0,17011.25,0.5542,17010.6958,0.0,17097.623156574977,
PI,pi_run_19.csv,17000.0,16994.375,0.5648500000000001,16993.81015,0.0,17084.845788984567,
PI,pi_run_20.csv,17000.0,16986.875,0.5676499999999999,16986.30735,0.0,17090.99705701551,
PID,pid_run_01.csv,2.096,17000.0,16971.0,29.0,10.411764705882351,1988.6697815373975,1.1
PID,pid_run_02.csv,2.096,17000.0,16983.5,16.5,11.529411764705882,1995.9152036096123,1.1
PID,pid_run_03.csv,2.096,17000.0,16992.5,7.5,11.352941176470587,1996.3419671990066,1.1
PID,pid_run_04.csv,2.096,17000.0,17027.5,-27.5,11.294117647058824,1993.4423743865786,1.1
PID,pid_run_05.csv,2.096,17000.0,17009.5,-9.5,11.647058823529411,2001.5828111771943,1.1
PID,pid_run_06.csv,2.096,17000.0,16995.5,4.5,11.647058823529411,1998.6420389854707,1.1
PID,pid_run_07.csv,2.096,17000.0,16958.0,42.0,10.764705882352942,1991.3340377746774,1.1
PID,pid_run_08.csv,2.096,17000.0,17003.5,-3.5,11.352941176470587,1999.1632624675754,1.1
PID,pid_run_09.csv,2.096,17000.0,17012.5,-12.5,11.058823529411764,1996.8813184563573,1.1
PID,pid_run_10.csv,2.096,17000.0,17000.5,-0.5,11.588235294117647,2005.2680618810045,1.1
PID,pid_run_11.csv,2.096,17000.0,17002.0,-2.0,10.941176470588236,1995.3433288534582,1.1
PID,pid_run_12.csv,2.096,17000.0,16950.0,50.0,11.058823529411764,1996.8265447955164,1.1
PID,pid_run_13.csv,2.096,17000.0,16991.5,8.5,10.823529411764705,1993.0880562584284,1.1
PID,pid_run_14.csv,2.096,17000.0,16968.5,31.5,9.647058823529411,1978.5177532688454,1.1
PID,pid_run_15.csv,2.096,17000.0,16941.0,59.0,10.294117647058822,1989.2297504310557,1.1
PID,pid_run_16.csv,2.096,17000.0,16989.5,10.5,10.588235294117647,1991.0339650543383,1.1
PID,pid_run_17.csv,2.096,17000.0,17033.5,-33.5,10.823529411764705,1992.5919050322373,1.1
PID,pid_run_18.csv,2.096,17000.0,17005.5,-5.5,10.823529411764705,1992.4510658984827,1.1
PID,pid_run_19.csv,2.096,17000.0,16978.0,22.0,11.176470588235295,1994.6177578674065,1.1
PID,pid_run_20.csv,2.096,17000.0,16974.5,25.5,10.705882352941176,1987.8273315356141,1.1
LQR/LQI,lqr_run_01.csv,2.096,17000.0,17087.5,-87.5,3.294117647058824,2781.142750741141,0.6999999999999997
LQR/LQI,lqr_run_02.csv,2.096,17000.0,17089.5,-89.5,3.4117647058823533,2775.3236297772555,0.6999999999999997
LQR/LQI,lqr_run_03.csv,2.096,17000.0,17090.0,-90.0,3.4705882352941178,2773.609561564136,0.6999999999999997
LQR/LQI,lqr_run_04.csv,2.096,17000.0,17089.5,-89.5,3.6470588235294117,2780.470508744878,0.6999999999999997
LQR/LQI,lqr_run_05.csv,2.096,17000.0,17087.5,-87.5,3.705882352941176,2772.6244336368386,0.6999999999999997
LQR/LQI,lqr_run_06.csv,2.096,17000.0,17089.5,-89.5,3.5882352941176467,2773.436045774267,0.6999999999999997
LQR/LQI,lqr_run_07.csv,2.096,17000.0,17087.5,-87.5,3.1176470588235294,2783.032518674548,0.6999999999999997
LQR/LQI,lqr_run_08.csv,2.096,17000.0,17089.5,-89.5,3.058823529411765,2778.6161123840047,0.6999999999999997
LQR/LQI,lqr_run_09.csv,2.096,17000.0,17087.619047619046,-87.61904761904589,3.1176470588235294,2770.4505500008477,0.6999999999999997
LQR/LQI,lqr_run_10.csv,2.096,17000.0,17090.0,-90.0,2.941176470588235,2776.8081946724374,0.6999999999999997
LQR/LQI,lqr_run_11.csv,2.096,17000.0,17092.0,-92.0,2.6470588235294117,2768.624658562442,0.6999999999999997
LQR/LQI,lqr_run_12.csv,2.096,17000.0,17089.5,-89.5,2.764705882352941,2787.7782372348056,0.6999999999999997
LQR/LQI,lqr_run_13.csv,2.096,17000.0,17121.5,-121.5,2.3529411764705883,2775.3319621263327,0.6999999999999997
LQR/LQI,lqr_run_14.csv,2.096,17000.0,17090.0,-90.0,2.6470588235294117,2768.6386546459976,0.6999999999999997
LQR/LQI,lqr_run_15.csv,2.096,17000.0,17089.5,-89.5,3.058823529411765,2765.887967723928,0.6999999999999997
LQR/LQI,lqr_run_16.csv,2.096,17000.0,17087.5,-87.5,3.176470588235294,2764.419694981209,0.6999999999999997
LQR/LQI,lqr_run_17.csv,2.096,17000.0,17129.0,-129.0,2.764705882352941,2773.5656202801474,0.6999999999999997
LQR/LQI,lqr_run_18.csv,2.096,17000.0,17086.5,-86.5,3.058823529411765,2765.7889923130433,0.6999999999999997
LQR/LQI,lqr_run_19.csv,2.096,17000.0,17088.5,-88.5,2.705882352941176,2766.859682022202,0.6999999999999997
LQR/LQI,lqr_run_20.csv,2.096,17000.0,17108.0,-108.0,2.764705882352941,2766.434302491205,0.6999999999999997
